142

UNION SRLDIERS INTERRED IN



| 0                                  | 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Original place of burial, Natchez,  | Mississippi, Mississippi, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Mississippi.                       | Vidalia,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|                                    | Mississippi,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Do.,                               | Louiisiana,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| Do.,                               | Louisiana,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| Vicksburg,                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Do.,                               | Mississippi,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Do.,                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Natchez,                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Mississippi.                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Mississippi                        | Natchez,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Mississippi.                       | Do.,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Mississippi.                       | Natchez,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Natchez, Mississippi,              | Natchez,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|                                    | Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Natchez, Mississippi.              | Natchez,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Natchez, Mississippi.               | Natchez,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Natchez, Mississippi.               | Natchez, Mississippi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
