BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA. 89

3074 Miller, Peter . . . . . . . . . . . . . . . . . . . . . . . . . . . . F 103d U. S. colored troops . . . . . . . . . . . . . - - -
3075 Morgan, E . . . . . . . . . . . . . . . . . . . . . . . . . . . . . E 103d U. S. colored troops . . . . . . . . . . . . . - 182
3076 Mason, Lewis . . . . . . . . . . . . . . . . . . . . . . . . . G 103d U. S. colored troops . . . . . . . . . . . . . 31 169
3077 Murry, Robt . . . . . . . . . . . . . . . . . . . . . . . . . . G 103d U. S. colored troops . . . . . . . . . . . . . 7 20
3078 McBride, Wm . . . . . . . . . . . . . . . . . . . . . . . . . F 33d U. S. colored troops . . . . . . . . . . . . . . - 20
3079 Morse, Wm . . . . . . . . . . . . . . . . . . . . . . . . . . . B 10th Illinois . . . . . . . . . . . . . . . . . . . . . . . . 19 87
3080 McMeans, L . . . . . . . . . . . . . . . . . . . . . . . . . . F 3d Rhode Island heavy art'y . . . . . . . . 27 8
3081 Morgan, C . . . . . . . . . . . . . . . . . . . . . . . . . . . . B 157th New York . . . . . . . . . . . . . . . . . . . . 6 12
3082 Magadorn, John . . . . . . . . . . . . . . . . . . . . . H - U. S. colored troops . . . . . . . . . . . . . - 9
3083 Morris, C. H . . . . . . . . . . Ord. sergeant. . . . . . . . 14th U. S. infantry . . . . . . . . . . . . . . . . 2 5
3084 Margeton, Franklin . . . 2d lieutenant . . . . . . . 7th U. S. infantry . . . . . . . . . . . . . . . . 2 12
3085 May, James . . . . . . . . . . . Private . . . . . . . . . . . . 7th U. S. infantry . . . . . . . . . . . . . . . . 2 9
3086 McDonald, Stephen . . . . . . . . . . . . . . . . . . . . . 7th U. S. infantry . . . . . . . . . . . . . . . . 2 5
3087 Mills, Con . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 7th U. S. infantry . . . . . . . . . . . . . . . . 2 18
3088 Marillins, James . . . . . . . . . . . . . . . . . . . . . . . 7th U. S. infantry . . . . . . . . . . . . . . . . 2 24
3089 McGregory, Chas . . . . . . . . . . . . . . . . . . . . . . 7th U. S. infantry . . . . . . . . . . . . . . . . 2 21
3090 Meagles, Edw'd . . . . . . . . . . . . . . . . . . . . . . . 7th U. S. infantry . . . . . . . . . . . . . . . . 2 4
3091 Martin, Jack . . . . . . . . . . . . . . . . . . . . . . . . . . 7th U. S. infantry . . . . . . . . . . . . . . . . 2 3
3092 Mayer, Andrew . . . . . . . . . . . . . . . . . . . . . . . . 7th U. S. infantry . . . . . . . . . . . . . . . . 2 19
3093 McLean, Fred . . . . . . . . . . . . . . . . . . . . . . . . . . 7th U. S. infantry . . . . . . . . . . . . . . . . 2 20
3094 Murphy, War . . . . . . . . . . . . . . . . . . . . . . . . . . 7th U. S. infantry . . . . . . . . . . . . . . . . 2 52
3095 Murphy, Jeff . . . . . . . . . . . . . . . . . . . . . . . . . . . 7th U. S. infantry . . . . . . . . . . . . . . . . 2 40
3096 Morin, Edw'd . . . . . . . . . . Sergeant . . . . . . . . . . 47th Ohio . . . . . . . . . . . . . . . . . . . . . . . 9 48
3097 Morton, E. P . . . . . . . . . . . . . . . . . . . . . A 27th Massachusetts . . . . . . . . . . . . . . 15 45
3098 Mullins, W . . . . . . . . . . . . . . . . . . . . . . H 113th Illinois . . . . . . . . . . . . . . . . . . . . 9 113
3099 More, David . . . . . . . . . . . . . . . . . . . . D 39th New York . . . . . . . . . . . . . . . . . . 12 9
3100 Morris, Philip . . . . . . . . . . . . . . . . . . . E 72d Ohio . . . . . . . . . . . . . . . . . . . . . . . 7 2
3101 Morris, R. H . . . . . . . . . . . Sergeant . . . . . . . . . . G 7th Tennessee . . . . . . . . . . . . . . . . . . 9 38
3102 Monroe, Nelson . . . . . . . . . . . . . . . . . . . C 34th U. S. colored troops . . . . . . . . . . 23 114
3103 Maloney, W. D . . . . . . . . . . . . . . . . . . . G 42d Illinois . . . . . . . . . . . . . . . . . . . . . 29 2
3104 Miller, Jno . . . . . . . . . . . . . . . . . . . . . . . I 3d New York . . . . . . . . . . . . . . . . . . . . 7 9
3105 Metzler, C . . . . . . . . . . . . . . . . . . . . . . . F 107th Ohio volunteer infantry . . . . . . 26 67
3106 Meushowier, J . . . . . . . . . . . . . . . . . . . . H 107th Ohio volunteer infantry . . . . . . 5 97
3107 McLeod, Geo . . . . . . . . . . . . . . . . . . . . . . F - - - - - - - - - - - - - - - - - - - - . . . . . . . . . 9 62
3108 McVicar, Robt . . . . . . . . . . Sergeant . . . . . . . . . . F 7th U. S. infantry . . . . . . . . . . . . . . . . 1 57
3109 Madison, Alfred . . . . . . . . . . . . . . . . . . . B 99th U. S. colored troops . . . . . . . . . . 1 92
3110 Metcalf, Daniel . . . . . . . . . . . . . . . . . . . H 7th U. S. infantry . . . . . . . . . . . . . . . . 32 53
3111 McIntire, F. S . . . . . . . . . . . . . . . . . . . . . K 9th Maine volunteers . . . . . . . . . . . . . 20 53
3112 Murrey, Willingtn . . . . . . . . . . . . . . . . . F 9th Maine volunteers . . . . . . . . . . . . . 20 46
3113 McEnvey, Melvin . . . . . . . . . . . . . . . . . H 9th Maine volunteers . . . . . . . . . . . . . - 10
3114 Malloney, W . . . . . . . . . . . . . . . . . . . . . . G 97th Pennsylvania . . . . . . . . . . . . . . . 37 60
