BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA. 133

4746 Webster, George................................... C 75th New York...................... 27 47
4747 Walten, Robert.................................. C 14th New Hampshire.................. 27 67
4748 Withers, William................................. C 75th New York...................... 17 45
4749 Ware, Isaac........... Gov't clerk.. C 14th Maine......................... 27
4750 Webster, Samuel J............................... C
4751 Whittier, James.................................. G 28th Iowa .......................... 26 77
4752 Williams, Charles B............................. F 162d New York..................... 12 25
4753 White, J. C. ..................................... C 153d New York ..................... 12 96
4754 West, Lyman ..................................... D 175th New York..................... 20 131
4755 Wyre, Edward.................................. B 12th Maine......................... 27 180
4756 Walker, William J.......... Captain...... D 131st New York................... 27 14
4757 Williams, C. L.............. Lieutenant.. B 18th Kentucky..................... 6
4758 Waters, John M................................. C 16th Connecticut................... 3 6
4759 White, W. J................ Seaman...... C Steamer Rettel..................... 3 11
4760 Wise, C. M................ Sergeant..... E 141st New York..................... 27 109
4761 Williams, Sylvester.............................. F 33d U. S. colored troops............ 31 183
4762 Walker, George.................................. G 103d U. S. colored troops............
4763 Wade, James.................................... G --- U. S. colored troops...........
4764 Walse, Benjamin ................................. B 33d U. S. colored troops............ 31 184
4765 Williams, Daniel................................ G 33d U. S. colored troops............ 31 186
4766 Welser, Adam .................................... A 103d U. S. colored troops............
4767 Waters, Thomas........... Sergeant..... H 103d U. S. colored troops............ 31 169
4768 Wiggins, John L................................. I 102d U. S. colored troops............
4769 Wilkerson, J .................................... K 103d U. S. colored troops............ 12 8
4770 Wilford, Robert................................ F 48th New York .....................
4771 Wail, John ...................................... I 7th United States infantry...........
4772 Webber, John R................................. K 7th United States infantry........... 2 31
4773 Warren, Alonzo................................. H 21st Michigan.......................
4774 Williams, John C.......... Captain...... D 1st Michigan....................... 41 115
4775 White, C. L ..................................... 3d Kentucky cavalry............... 3 17
4776 Warrener, Frederick.............................. 7th United States infantry........... 2 16
4777 Walker, J. R.................................... 70th Ohio ........................... 10 33
4778 Whitfield, Tyler............................... A 27th --- battery ................
4779 W---, W .......................................
4780 Whorton, J ...................................... F 21st Michigan....................... 41 107
4781 Wisner, E ....................................... B 13th Michigan....................... 41 24
4782 Webner, Frederick............................... A 113th Ohio .......................... 5 40
4783 Woodley, ......................................
4784 Williams, Aaron................................ B 152d Pennsylvania..................
4785 Williams, Stephen.............................. B 1st New York dragoons............. 25 88
4786 Whitney, A. R ................................... H
