BEAUFORT NATIONAL CEMETERY, SOUTH CAROLINA. 77

2620 Larabe, Charles ......................... Private ........ E 8th Maine ......................... 19 139
2621 Littlefield, Charles M ................ .....do ........... K 8th Maine ......................... 19 121
2622 Littlefield, David M ................. .....do ........... D 8th Maine ......................... 19 113
2623 Lord, Tobias .......................... .....do ........... D 8th Maine ......................... 19 143
2624 Legran, Daniel S ....................... .....do ........... B 8th Maine ......................... 36 44
2625 Lambert, Charles ...................... .....do ........... C 6th Connecticut ...................
2626 Lander, James .......................................... Quartermaster's Department ........
2627 Loucks, Wm ............................................. 115th New York ....................
2628 Lobdell, Richard ....................................... E 1st New York engineers ............ 28 142
2629 Lewis, Francis .......................................... I 7th Connecticut .................. 36 23
2630 Lord, Wm ............................................... F 144th New York ................... 28 37
2631 Lewis, Geo. A .......................................... G 40th Massachusetts ................ 36 88
2632 Lynch, Mathias ......................................... F 127th New York ................... 15 179
2633 Lewis, Rockwell ........................................ I 142d New York .................... 28 126
2634 Lewis, Jno. F .......................... Corporal ....... D 17th Connecticut .................. 36 32
2635 Lesage, Lewis ......................... Private ........ F 54th New York .................... 36 84
2636 Lance, Jacob A ........................ .....do ........... H 55th Pennsylvania ................ 26 44
2637 Lewis, David ............................................ A 20th Veteran Reserve Corps ........ 24 62
2638 Link, Jacob ............................................ K 53d Indiana ...................... 1 69
2639 Labdell, Asbury ........................................ B 12th Indiana ..................... 8 63
2640 Lehrman, Wm ........................................... 107th Ohio ........................ 8 42
2641 Lucid, John ............................................ G 6th Missouri ...................... 9
2642 Lewis, Smart .......................... Corporal ....... G 33d U. S. colored troops ........... 30 96
2643 Lete, Jonathan ......................................... G 102d U. S. colored troops .......... 31 100
2644 Luck, F ................................................ C
2645 Lewis, J ............................................... C
2646 Leeper, S. D ....................................................................................
2647 Lapp, B. J ............................................. E 32d U. S. colored troops ........... 30 14
2648 Loney, D .......................................................................................
2649 Looney, John .......................................... D
2650 Leverett, C ............................................ A 4th Virginia ......................
2651 Lenkons, J. A ................................................. 26th Virginia ......................
2652 Leigh, J. W .....................................................................................
2653 Lane, J. H ......................................................................................
2654 Lampman, Luaman ........................ Private ........ I 29th Connecticut .................. 36 34
2655 Long, Jas. B ........................................... K 70th Ohio ........................ 9 53
2656 Lane, Samuel ........................................... C 33d Ohio ........................ 9 60
2657 Leach, A. B ............................................ C 58th Indiana ..................... 5 33
2658 Liles, G ............................................... K 2d Iowa ..........................
2659 Lloyd, Adam ............................................ G 141st New York ................... 27 106
2660 Laner, Wm .............................................. E 1st Alabama cavalry ............... 23 51
