NATIONAL WOMAN'S PARTY
Washington, D.C.

October 29, 1954

Dear Delegates:

The report of the Elections Committee, signed by Dr. Harriot Stanton Blatch, Chair-

man, has been mailed to all delegates.  The Nominating Committee has been asked

to prepare a slate of officers to be nominated for the ensuing year, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of the Nominating Committee to serve, and no names

were mentioned in the report of
